	p_val	avg_logFC	pct.1	pct.2	p_val_adj
H2bu2	0	0.266515471744257	0.209	0.021	0
Mpdz	0	0.266437009248555	0.251	0.03	0
Usp24	0	0.266362331103536	0.294	0.102	0
Acsl6	0	0.266028347478492	0.196	0.014	0
Srsf1	0	0.265952661689332	0.474	0.266	0
Pi15	0	0.265866475801652	0.165	0.002	0
Glod4	0	0.265529784452472	0.449	0.238	0
Efemp2	0	0.265525921180925	0.335	0.118	0
Bcas2	0	0.265500614364654	0.637	0.442	0
Baiap2	0	0.265304081836024	0.372	0.196	0
Dbpht2	0	0.264865731774949	0.198	0.006	0
Pcnp	0	0.264387255258271	0.631	0.438	0
Ei24	0	0.264375176408008	0.423	0.197	0
Pvalb	0	0.263718949735638	0.15	0.005	0
Ddo	0	0.263565546664695	0.214	0.002	0
Spata24	0	0.263281844952392	0.255	0.034	0
Ubn2	0	0.263001267372356	0.4	0.21	0
Adh5	0	0.262999064370746	0.563	0.365	0
Kif9	0	0.262969999664968	0.222	0.01	0
Map7	0	0.262655521800997	0.171	0.032	0
Ank	0	0.262117592501289	0.317	0.112	0
Kifbp	0	0.261936560741616	0.312	0.097	0
Azin2	0	0.261839869377921	0.234	0.017	0
Atat1	0	0.261769510109272	0.297	0.067	0
Epb41l3	0	0.261739570140773	0.201	0.074	0
Ift80	0	0.261598076596447	0.235	0.023	0
Cyp2j6	0	0.261529165403628	0.2	0.026	0
Ilf2	0	0.261361088528312	0.459	0.23	0
Atp5md	0	0.261331218784995	0.904	0.797	0
Ruvbl1	0	0.261320560898205	0.425	0.202	0
Rbfox1	0	0.261270900403516	0.21	0.013	0
Hnrnpk	0	0.261227363151037	0.947	0.892	0
Hoxd8	0	0.261129122610113	0.242	0.006	0
Lgi3	0	0.261073141761845	0.147	0.006	0
Tctex1d1	0	0.260688508003638	0.208	0.002	0
Prkcz	0	0.260504137670032	0.242	0.024	0
Mro	0	0.26037119565794	0.229	0.003	0
Abhd4	0	0.260257583926701	0.349	0.131	0
Ppp1r32	0	0.260111961523637	0.197	0.002	0
Ugdh	0	0.260087286808695	0.278	0.145	0
Hnrnpc	0	0.260032009322377	0.727	0.573	0
Mrps7	0	0.259860210933327	0.46	0.29	0
Tmco1	0	0.259854683160184	0.732	0.576	0
Tmem59	0	0.259581280764842	0.875	0.778	0
Zdhhc2	0	0.259401364166145	0.196	0.013	0
Ndufa7	0	0.258792694221273	0.934	0.838	0
Kmt2a	0	0.258205458423202	0.371	0.187	0
Hadhb	0	0.258166466249556	0.483	0.285	0
Snrpd3	0	0.258165489607171	0.673	0.494	0
Tulp3	0	0.257922453234626	0.242	0.033	0
Msi1	0	0.257642628375011	0.237	0.006	0
