"Pair_name","Score","pval","adj_pval","Ligand_cell","Receptor_cell","split.by","Ligand","Receptor","Ligand_avgExp","Receptor_avgExp","Ligand_pct","Receptor_pct","Cell_pair","LR_pair","Ligand_cell_pct","Receptor_cell_pct"
"Clcf1_Cntfr",0.0384637428811295,0.565,1,"H-Microglia","Astroependymal","3dpi","Clcf1","Cntfr",0.0582644616980215,0.0186630240642375,0.058,0.03,"H-Microglia_Astroependymal","Clcf1_Cntfr",20.5,16.2
"Clcf1_Cntfr",0.0431731461908767,0.253,1,"DAM-A","Astroependymal","3dpi","Clcf1","Cntfr",0.0676832683175159,0.0186630240642375,0.075,0.03,"DAM-A_Astroependymal","Clcf1_Cntfr",28.8,16.2
"Clcf1_Cntfr",0.0321005541580424,0.931,1,"DAM-B","Astroependymal","3dpi","Clcf1","Cntfr",0.0455380842518473,0.0186630240642375,0.066,0.03,"DAM-B_Astroependymal","Clcf1_Cntfr",38.5,16.2
"Clcf1_Cntfr",0.0156404836600249,1,1,"DAM-C","Astroependymal","3dpi","Clcf1","Cntfr",0.0126179432558123,0.0186630240642375,0.028,0.03,"DAM-C_Astroependymal","Clcf1_Cntfr",22.6,16.2
"Clcf1_Cntfr",0.0630811723021028,0.019,1,"Fibroblast","Astroependymal","3dpi","Clcf1","Cntfr",0.107499320539968,0.0186630240642375,0.133,0.03,"Fibroblast_Astroependymal","Clcf1_Cntfr",18.7,16.2
"Clcf1_Cntfr",0.126315414009583,0,0.94,"Astroependymal","Astroependymal","3dpi","Clcf1","Cntfr",0.233967803954929,0.0186630240642375,0.262,0.03,"Astroependymal_Astroependymal","Clcf1_Cntfr",16.2,16.2
"Clcf1_Cntfr",0.0115609635079896,1,1,"OPC-A","Astroependymal","3dpi","Clcf1","Cntfr",0.00445890295174162,0.0186630240642375,0.003,0.03,"OPC-A_Astroependymal","Clcf1_Cntfr",16.6,16.2
"Clcf1_Cntfr",0.0227765190844432,0.969,1,"OPC-B","Astroependymal","3dpi","Clcf1","Cntfr",0.0268900141046488,0.0186630240642375,0.048,0.03,"OPC-B_Astroependymal","Clcf1_Cntfr",24.1,16.2
"Clcf1_Cntfr",0.295843602879599,0,0.555,"Monocyte","Astrocyte","3dpi","Clcf1","Cntfr",0.0407031556721174,0.550984050087081,0.035,0.406,"Monocyte_Astrocyte","Clcf1_Cntfr",33.2,20.7
"Clcf1_Cntfr",0.284350019318821,0,0.59,"Macrophage-A","Astrocyte","3dpi","Clcf1","Cntfr",0.0177159885505603,0.550984050087081,0.026,0.406,"Macrophage-A_Astrocyte","Clcf1_Cntfr",58.1,20.7
"Clcf1_Cntfr",0.278410253344498,0,0.606,"Macrophage-B","Astrocyte","3dpi","Clcf1","Cntfr",0.00583645660191546,0.550984050087081,0.008,0.406,"Macrophage-B_Astrocyte","Clcf1_Cntfr",51,20.7
